gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,70.4717,-0.08287856840036469,0.18338310891348233,-0.876097230277243,0.38097717835997635,0.7198000426535458
A2M,36.735027,-1.0713701088425682,0.3386106099509754,-3.848842431575221,0.00011867731153325404,0.006268812709721023
A2MP1,15.628274,0.03248586355123763,0.2896592750347295,0.8023674721262315,0.4223404232332857,0.7481272790972971
AAAS,18.305878,0.0409302190212397,0.2448281559929168,0.5939352055906724,0.5525554509468502,0.8276227906315118
AACS,24.630203,0.060574325301711966,0.23124853444890406,0.754343554267478,0.4506429558279559,0.7663655169710262
AAGAB,30.098007,-0.01877333750261605,0.20189353641558871,-0.22730142547912344,0.8201893647444851,0.9418329871475516
AAK1,704.3502,-0.05614892819530896,0.1897831267768949,-0.6171700879039709,0.5371225432164037,0.8207207730572131
AAMDC,24.254242,0.02142296945125276,0.23094899930639953,0.2945806696278085,0.768314230638921,0.9224592547248336
AAMP,39.62747,0.14454005127762568,0.2138147636958281,1.396109838792157,0.16268142147146714,0.5092848591552608
AAR2,37.55412,0.03753872174656637,0.22643863201702336,0.5052381249939581,0.6133915956723404,0.8576932201782281
AARS1,82.53611,0.08599924316924627,0.2750733750756553,1.2281794199027427,0.21937962252652632,0.5786728395465229
AARS2,40.729485,-0.01622848036897569,0.21164988632550683,-0.2069273217171917,0.8360666186368553,0.9477152138542126
AARSD1,35.217213,0.07548079267007728,0.2228585930705217,0.8771493953809679,0.38040549816000835,0.7192335339458208
AASDH,29.51801,0.040302678571082225,0.21501372610964917,0.49294575766866594,0.6220509145146306,0.8616587160687339
AASDHPPT,52.390923,-0.14426950408889636,0.45496398394718557,3.552625547913198,0.0003814069651898809,0.01417471742773536
AASS,37.61166,-0.13873057284221618,0.26927135487683707,-1.5360080811239487,0.12453639838778181,0.4492062996002585
AATF,46.447105,-0.034820162165806655,0.19456370857785082,-0.4073702805221891,0.683736051401818,0.8870411857483255
AATF-1,18.3091,0.09453302508056996,0.26513858987473304,1.1950104732365763,0.23208293820133552,0.5938173235611255
ABAT,15.446046,-0.05552377130523262,0.23941967732916727,-0.7664832988328969,0.44338878556290595,0.762754786339494
ABCA15P,30.839228,-0.0587040218479174,0.22717062550297812,-0.7636499722474968,0.44507586100703267,0.7635573072283481
ABCA2,24.128557,-0.0948519744585474,0.24450434815492927,-1.1881296617901091,0.23478232989902537,0.5966550199432454
ABCA5,45.657597,-0.06384288906666705,0.20723663953427854,-0.746156773078838,0.4555727171619569,0.7709692136586963
ABCA7,29.684643,-0.011387119612648244,0.21540074081881624,-0.1478075068699182,0.8824946847913206,0.9645247022306987
ABCA9,12.83212,-0.7828338836261451,0.3539160279446855,-3.1226593077773694,0.001792250808593165,0.040455882677267845
ABCB1,31.8284,-0.18098435320030637,0.22554585464029786,-1.6357140140818696,0.10189945509753293,0.4097240068566181
ABCB10,15.1924715,0.008063293035186015,0.23681895144283252,0.11605520295131838,0.9076087916977058,0.9727944975482469
ABCB11,787.4172,0.060340514881461305,0.2115564355948898,0.6978571951675661,0.48526650602198573,0.7898255145786226
ABCB5,10.189223,-0.058161701544317115,0.25410523224973275,-0.9165300012164671,0.35938897938893055,0.7042630479143529
ABCB7,50.74293,-0.13746797796351273,0.22824510822111196,-1.3827362035088882,0.1667457667558483,0.5156482760360646
ABCB8,30.867556,-0.025666102374773878,0.21258622797586035,-0.324130925594167,0.7458389144910207,0.9148043074249836
ABCB9,19.999098,0.07075919008628204,0.2860480861505069,1.2324666985848807,0.21777479896896523,0.5776845691913002
ABCC1,21.989075,0.009405646383410175,0.2302673279272794,0.1297456962922086,0.8967676276930258,0.9690305227179259
ABCC10,54.993877,-0.10672908783218277,0.22919071142710876,-1.1916174937444732,0.233411262418578,0.5947998189456077
ABCC3,12.921565,0.05358266207204786,0.27585870663189105,0.9540787560385271,0.3400437786048156,0.6912089267353488
ABCC4,14.627248,0.024124564108616776,0.24606853341571944,0.37948828287917846,0.7043253036580901,0.8958818127204603
ABCC5,19.025995,-0.06822791638701674,0.23395329923254166,-0.8781454925549756,0.37986476769578337,0.7192335339458208
ABCC8,8.776245,0.044356507830254056,0.27587712830156147,0.8074918189823637,0.41938318598866187,0.7471222758041922
ABCC9,90.683105,-0.1017608182688426,0.22154126483408992,-1.1286621266548809,0.2590403918253015,0.623254177418286
ABCD2,14.76062,-0.008563833411871537,0.24884887884025875,-0.1531848148306238,0.8782525323465121,0.9632172785774801
ABCD3,30.42325,0.04032869173521622,0.1706830026076083,0.461725896786611,0.6442778975406003,0.8709940095966142
ABCD4,63.86755,-0.07638127449356708,0.20173066246788204,-0.8459575191683952,0.3975764430043224,0.733594565922153
ABCE1,120.29028,0.08843677667241426,0.170232859157842,0.9186312153713933,0.3582884989153642,0.703319400414233
ABCF1,35.12322,-0.11712168291183853,0.1979715520594308,-1.1828286202859994,0.23687707533669367,0.5985776702170068
ABCF1-1,27.974682,0.18030955454818293,0.2916943265420999,1.7432798793003654,0.08128473822245391,0.36569346560434735
ABCF1-3,22.743917,0.1398162150462029,0.28047936787116934,1.5344322908028543,0.1249233387176,0.4492062996002585
ABCF2,19.554697,-0.06430206322256708,0.2433825681447506,-0.9173093733414608,0.3589805469900329,0.7037587739220577
ABCF3,19.23637,-0.2130001087729095,0.31969452652266206,-1.9331435062536897,0.053218521867058374,0.29394476568397526
ABCG1,104.4901,-0.6285913037060196,0.3194929842456333,-2.88469704105867,0.0039179049427972845,0.06417437165700748
ABCG8,18.361004,-0.3084530905660556,0.43768723501146417,-2.2900503706198982,0.022018396866578242,0.18612789422714313
ABHD1,62.573406,-0.3534892580998948,0.3037163953819907,-2.2846805040497395,0.022331568612795057,0.1880527318750106
ABHD10,22.98947,-0.14426950408889636,0.45496391919405876,0.006102567873760004,0.9951308855343476,0.9982005007586678
ABHD11,20.58784,-0.007912881616515008,0.22290924145041327,-0.10753624049697942,0.9143635762432868,0.9745843874206332
ABHD12,24.251078,0.03103148101922099,0.21921123455712516,0.38661844027952796,0.6990387042194368,0.8950495138742692
ABHD13,39.193806,-0.012779034478522239,0.21571290545150626,-0.1684181554795724,0.86625432610054,0.959643033007117
ABHD14A,57.552277,0.04242743557079656,0.2070627249590163,0.5080617929909792,0.6114100086345802,0.8560346688575554
ABHD14B,88.19955,0.11575212272222847,0.22536118524947435,1.2301558353384512,0.21863875465448623,0.5778904955383753
ABHD15,51.91115,-0.04819904749114919,0.2132134389703361,-0.6080468566860087,0.5431563972646092,0.82314587558071
ABHD17A,390.44952,-0.13941435102532895,0.10792472158806135,-1.610451471827079,0.10729933150807618,0.41802951840997404
ABHD17B,19.1099,-0.1402998106871602,0.2738221552389696,-1.5615497835289287,0.11839408723799043,0.437969737575019
ABHD18,42.28602,-0.17343056959004166,0.24175664543502656,-1.612400570370615,0.10687480083985147,0.41731301220994166
ABHD2,42.626778,-0.0521238553103062,0.19727511791339022,-0.5947800759996086,0.5519904873046857,0.8276227906315118
ABHD3,48.465725,0.0672726842710525,0.17455662206276254,0.7133100324145774,0.4756539308004558,0.785160977777529
ABHD5,40.283398,-0.06274233264665022,0.220744445907718,-0.7833127541653874,0.4334434753826887,0.756399933730045
ABI1,120.5542,-0.15411600481593254,0.13259073138040883,-1.5901546237330282,0.11179995583282479,0.4265707652655461
ABI2,87.006226,-0.2555568937115118,0.27495525071548804,-2.0024333735664737,0.045238142131415346,0.27197971281583805
ABI3,26.217007,0.040588557656900545,0.25436815724830886,0.6325954950263986,0.5269978297197528,0.8133250104080101
ABL1,15.837186,-0.15689783857854805,0.30095164532863383,-1.7538717587221622,0.07945248370938976,0.36106088463791514
ABL2,119.607925,-0.12323099999144253,0.21053083686350976,-1.2523769028929068,0.21043255847727416,0.5697393648280431
ABLIM1,143.7084,0.10157565503301556,0.20583354717211785,1.0716811621102134,0.2838632648029058,0.6416110042616866
ABR-1,13.788742,0.014242811614536997,0.2451294233735172,0.22460816668782616,0.8222841111165625,0.9427221894596222
ABRACL,234.30135,0.24461012189801748,0.10955803377463291,2.6570836161258424,0.007881989069594558,0.10026892207604032
ABRAXAS1,65.83199,0.03453868568057883,0.17249820521700787,0.3747405374038867,0.7078534410163573,0.8972984416148391
ABRAXAS2,24.735228,-0.014636696935356686,0.22565374351533346,-0.20278973261914532,0.8392993833861317,0.9489080164619825
ABT1,98.96818,-0.01801685288792878,0.19498084174969624,-0.21287996099250595,0.8314205929480848,0.9464168515322078
ABTB1,56.274567,0.0148704859245999,0.16942180397944878,0.163129968431319,0.8704161044405154,0.9607074652957153
ABTB3,14.608206,-0.04907336361971566,0.2418747068114724,-0.7322941216954783,0.46398906644710447,0.7762959781942461
