,ensembl_gene_id,external_gene_name
190,ENSG00000291448,TSPY16P
191,ENSG00000291449,USP9YP4
192,ENSG00000114374,USP9Y
193,ENSG00000291450,ELOCP4
194,ENSG00000291451,RBMY1A3P
195,ENSG00000291452,
196,ENSG00000291453,TTTY20
197,ENSG00000291454,FAM197Y8
198,ENSG00000291455,TSPY8
199,ENSG00000291456,FAM197Y7
200,ENSG00000291457,
201,ENSG00000291458,TSPY4
202,ENSG00000291459,TSPY9
203,ENSG00000291460,FAM197Y2
204,ENSG00000291461,FAM197Y4
205,ENSG00000291462,FAM197Y4
206,ENSG00000169807,PRY2
207,ENSG00000234110,TSPY25P
208,ENSG00000223422,
209,ENSG00000231159,OFD1P8Y
210,ENSG00000225653,RNF19BPY
211,ENSG00000251618,
212,ENSG00000229159,TSPY23P
213,ENSG00000228578,TUBB1P2
214,ENSG00000231411,DUX4L31
215,ENSG00000187657,TSPY13P
216,ENSG00000275280,
217,ENSG00000270242,ACTR3BP1
218,ENSG00000236477,RPS24P1
219,ENSG00000129816,TTTY1B
220,ENSG00000237997,RCC2P2
221,ENSG00000244246,ZNF736P8Y
222,ENSG00000234950,RBMY2OP
223,ENSG00000198692,EIF1AY
224,ENSG00000234583,TSPY19P
225,ENSG00000183753,BPY2
226,ENSG00000225433,MTND1P12
227,ENSG00000227166,STSP1
228,ENSG00000228379,
229,ENSG00000285019,ELOCP5
230,ENSG00000285196,CDY10P
231,ENSG00000235857,CTBP2P1
232,ENSG00000285308,USP9YP3
233,ENSG00000223955,MTND6P1
234,ENSG00000285028,USP9YP8
235,ENSG00000237195,DLGAP5P1
236,ENSG00000285455,CDY11P
237,ENSG00000237447,CDC27P2
238,ENSG00000285477,OFD1P16Y
239,ENSG00000185700,TTTY8B
240,ENSG00000270455,PABPC1P5
241,ENSG00000229940,TSPY22P
242,ENSG00000234385,RCC2P1
243,ENSG00000226863,SHROOM2P1
244,ENSG00000212855,TTTY2
245,ENSG00000237968,
246,ENSG00000233699,TTTY18
247,ENSG00000286009,
